nid,nombres,apellidos,seudonimos,variantes,genero,fecha_nacimiento,fecha_muerte,ano_nacimiento,ano_muerte,lugar_nacimiento,disciplinas,subdisciplinas,fuentes,enlaces_titulo,enlaces_url,notas,obs_tipo,obs_descripcion
,Rubén Angel,Valle,,,Hombre,,,1966,,Mendoza,Escritura,Escritura: Narrativa|Escritura: Poesía,,,,,NUEVO,sin observaciones
9317,Carlos,Vallejo,,,Hombre,,,1967,,Mendoza,Escritura,Poesía|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Poesía
9318,Alejandra,Varela,,,Mujer,,,1974,,Buenos Aires,OBS: Artes escénicas|Escritura,Escritura: Dramaturgia|Dramaturgia,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,"disciplinas: OBS: Artes escénicas, subdisciplinas: Escritura: Dramaturgia"
9319,Mario Gonzalo,Varela,,,Hombre,,,1969,,Santa Fe,OBS: Artes audiovisuales|Escritura|Audiovisual,Dirección cinematográfica|Poesía|Escritura: Narrativa|Narrativa|Artes audiovisuales: Dirección cinematográfica|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,"disciplinas: OBS: Artes audiovisuales, subdisciplinas: Artes audiovisuales: Dirección cinematográfica|Escritura: Narrativa|Escritura: Poesía"
9320,Santiago,Varela,,,Hombre,,,1940,,Buenos Aires,Artes audiovisuales|Escritura|Audiovisual,Artes audiovisuales: Guionista|Escritura: Narrativa|Narrativa|Periodismo|Escritura: Periodismo|Otras,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,"disciplinas: Artes audiovisuales, subdisciplinas: Artes audiovisuales: Guionista|Escritura: Narrativa|Escritura: Periodismo"
9321,César,Vargas,,,Hombre,,,1954,,Córdoba,Escritura,Poesía|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Poesía
9322,Martha,Vargas,,,Mujer,,,1940,,Buenos Aires,Escritura,Poesía|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Poesía
9323,Walter,Vargas,,,Hombre,,,1958,,Buenos Aires,Escritura,Poesía|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Poesía
9324,María Isabel,Vassallo,,,Mujer,,,1949,,Capital Federal,Escritura,Poesía|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Poesía
9325,Marta,Vassallo,,,Mujer,,,1945,,Capital Federal,Escritura,Escritura: Narrativa|Escritura: Traducción|Periodismo|Escritura: Periodismo|Narrativa|Traducción,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Narrativa|Escritura: Traducción|Escritura: Periodismo
,Inés,Vazquez,,,Mujer,,,1961,,Buenos Aires,Escritura,Escritura: Narrativa|Escritura: Periodismo|Escritura: No ficción,,,,,NUEVO,sin observaciones
9327,Dolores de|Dolores De,Vedia,,,Mujer,,,1949,,Capital Federal,Escritura,Poesía|Escritura: Narrativa|Narrativa|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,"nombres: Dolores De, subdisciplinas: Escritura: Narrativa|Escritura: Poesía"
9328,Rubén,Vedovaldi,,,Hombre,,,1951,,Santa Fe,Escritura,Poesía|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Poesía
,Graciela Inés De La,Vega,,,Mujer,,,1963,,Buenos Aires,Escritura,Escritura: Poesía,,,,,NUEVO,sin observaciones
9330,Roberto,Vega,Alpargato,,Hombre,,,1943,,Capital Federal,OBS: Escritura|Escritura,Escritura: Dramaturgia|Dramaturgia|No ficción,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,"disciplinas: OBS: Escritura, subdisciplinas: Escritura: Dramaturgia"
,Rafael,Velasco,,,Hombre,,,1967,,Córdoba,Escritura,Escritura: Poesía,,,,,OTROS NACIMIENTOS,
9332,Beatriz,Ventura,,,Mujer,,,1949,,Capital Federal,Escritura,Poesía|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Poesía
