"nid","nombres","apellidos","seudonimos","variantes","genero","fecha_nacimiento","fecha_muerte","ano_nacimiento","ano_muerte","lugar_nacimiento","disciplinas","subdisciplinas","fuentes","enlaces_titulo","enlaces_url","notas"
"8872","Herminia Catalina","Brumana","","","Mujer","12/09/1897","09/01/1954","1897","1954","Buenos Aires","Escritura","Dramaturgia|No ficción|Narrativa|Periodismo","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G|Narradoras argentinas (1852-1932). 1995","Wikipedia en español","https://es.wikipedia.org/wiki/Herminia_Brumana","{diferencia}{libro=570}{2}{1901}"
"9637","Aldo","Brunelli Ventura","","","Hombre","","","","","Argentina","Audiovisual","Guionista|Dirección cinematográfica","Cine argentino. Diccionario de realizadores contemporáneos. 1987","Cine Nacional|Internet Movie Database (IMDb)","http://www.cinenacional.com/persona/aldo-brunelli-ventura|http://www.imdb.com/name/nm1163588/",""
"8873","Félix","Bruzzone","","","Hombre","","","1976","","Capital Federal","Escritura","Narrativa","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","","",""
"8704","Jorge","Bucay","","","Hombre","","","1949","","Capital Federal","Escritura","No ficción|Narrativa","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8705","Esteban","Buch","","","Hombre","","","1963","","Capital Federal","Escritura","Narrativa","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G|Breve diccionario biográfico de autores argentinos desde 1940. 1999","Fundación Konex","http://www.fundacionkonex.com.ar/b4095-esteban_buch",""
"8874","Sonia ","Budassi","","","Mujer","","","1978","","Buenos Aires","Escritura","Narrativa|Periodismo","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","","",""
"8706","Alberto Eduardo","Buela Lamas","","","Hombre","","","1946","","Capital Federal","Escritura","No ficción","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8707","Ernesto Diego","Buezas de la Torre","","","Hombre","","","1970","","Capital Federal","Escritura","Poesía","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"9639","Andrés","Bufali","","","Hombre","05/05/1943","","1943","","Entre Ríos","Audiovisual","Dirección cinematográfica","Cine argentino. Diccionario de realizadores contemporáneos. 1987","Cine Nacional","http://www.cinenacional.com/persona/andres-bufali",""
"8895","Ariel","Bufano","","","Hombre","30/11/1931","08/10/1992","1931","1992","Mendoza","Escritura|Artes escénicas","Pantomima|Títeres/marionetas|Dramaturgia","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","Fundación Konex","http://www.fundacionkonex.com.ar/b40-ariel__bufano",""
